Created at,Title,Author(s),Publisher,Genre,Year Published,First Published,ISBN,Series,Volume
"09.11.2025","The Complete Chronicles of Narnia","C. S. Lewis","Collins","Fantasy","1998","1950","0-583-33769-4",,
"09.11.2025","Eragon","Christopher Paolini","Knopf","Fantasy","2003","2003","0-375-82668-8","The Inheritance Cycle","1"
"09.11.2025","Eldest","Christopher Paolini","Knopf","Fantasy","2005","2005","0-375-82670-x","The Inheritance Cycle","2"
"09.11.2025","Brisingr","Christopher Paolini","Knopf","Fantasy","2008","2008","978-0-375-82672-6","The Inheritance Cycle","3"
"09.11.2025","Inheritance","Christopher Paolini","Knopf","Fantasy","2011","2011","978-0-375-85611-2","The Inheritance Cycle","4"
"09.11.2025","Tintenherz","Cornelia Funke","Cecilie Dressler Verlag","","2006","2003","3-7915-0465-7","Tintenwelt","1"
"09.11.2025","Tintenblut","Cornelia Funke","Cecilie Dressler Verlag","","2006","2005","3-7915-0467-3","Tintenwelt","2"
"09.11.2025","Tintenwelt","Cornelia Funke","Cecilie Dressler Verlag","","2007","2007","978-3-7915-0476-6","Tintenwelt","3"
"09.11.2025","Miss Peregrine’s Home for Peculiar Children","Ransom Riggs","Quirk Books","Fantasy","2013","2011","978-1-59474-603-1","Miss Peregrine’s Home for Peculiar Children","1"
"09.11.2025","Hollow City","Ransom Riggs","Quirk Books","","2015","2014","978-1-59474-735-9","Miss Peregrine’s Home for Peculiar Children","2"
"09.11.2025","Library of Souls","Ransom Riggs","Quirk Books","","2015","2015","978-1-59474-840-0","Miss Peregrine’s Home for Peculiar Children","3"
"09.11.2025","A Map of Days","Ransom Riggs","Dutton","","2018","2018","978-0-73523-156-6","Miss Peregrine’s Home for Peculiar Children","4"
"09.11.2025","The Conference of the Birds","Ransom Riggs","Penguin Books","","2020","2020","978-0-73523-152-8","Miss Peregrine’s Home for Peculiar Children","5"
"09.11.2025","The Desolations of Devil’s Acre","Ransom Riggs","Dutton","","2021","2021","978-0-59335-461-2","Miss Peregrine’s Home for Peculiar Children","6"
