Name,Color
"Adventure fiction","#63452c"
"Anthology","#deddda"
"Comedy","#dc8add"
"Comic","#e01b24"
"Cyberpunk","#69f2ff"
"Detective fiction","#c061cb"
"Dystopian","#241f31"
"Epistolary","#f6b73c"
"Fantasy","#26a269"
"Halo","#354e37"
"Manga","#1c71d8"
"Murder Mystery","#c01c28"
"Philosophical fiction","#e66465"
"Post-apocalyptic","#a51d2d"
"Science fiction","#9a9996"
"Short story collection","#f66151"
"Solarpunk","#57e389"
"Speculative fiction","#b5835a"
"Star Wars","#ffffff"
"Steampunk","#e5a50a"
"Textbook","#99c1f1"
"Translated","#f8e45c"
